file_name,emotion
G00009/G00009_42/G00009_42_14/G00009_42_14_024.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_001.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_051.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_038.mp4,disgusted
G00009/G00009_42/G00009_42_14/G00009_42_14_032.mp4,surprised
G00009/G00009_42/G00009_42_14/G00009_42_14_041.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_016.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_020.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_039.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_005.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_007.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_033.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_030.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_043.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_049.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_003.mp4,disgusted
G00009/G00009_42/G00009_42_14/G00009_42_14_018.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_011.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_009.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_026.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_014.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_042.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_035.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_047.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_012.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_052.mp4,fearful
G00009/G00009_42/G00009_42_14/G00009_42_14_028.mp4,neutral
G00009/G00009_42/G00009_42_14/G00009_42_14_022.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_036.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_019.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_015.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_023.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_053.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_048.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_029.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_037.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_045.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_031.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_002.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_017.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_050.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_046.mp4,fearful
G00009/G00009_42/G00009_42_12/G00009_42_12_021.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_006.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_040.mp4,neutral
G00009/G00009_42/G00009_42_12/G00009_42_12_027.mp4,surprised
G00009/G00009_42/G00009_42_12/G00009_42_12_010.mp4,neutral
G00009/G00009_37/G00009_37_12/G00009_37_12_033.mp4,fearful
